conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.77E+18,Wed Mar 13 05:54:32 +0000 2024,0,@benings_tj Kalau kecurangan sebelum pemungutan suara emangnya bisa dihitung https://t.co/ma2IuyrFcM ? Seperti dirilis film dirty vote sebelum tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai sekarang gak ada yg bisa bantah dg data2 valid. https://t.co/YplH9hNtCg,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767791218665439232/pu/img/1JhD7n0W1yb0fKXM.jpg,,in,Jakarta,0,0,0,https://x.com/riza_ajir/status/1767791332549108160,78954109,riza_ajir
1.77E+18,Wed Mar 13 05:51:12 +0000 2024,0,Kecurangan sebelum pemungutan suara emangnya bisa dihitung https://t.co/ma2IuyrFcM ? Seperti dirilis film dirty vote sebelum tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai sekarang gak ada yg bisa bantah dg data2 valid. https://t.co/CZx9HOTKst,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767790423140188160/pu/img/mFmJ50XYGCh5Rrlm.jpg,,in,Jakarta,0,1,0,https://x.com/riza_ajir/status/1767790495990952431,78954109,riza_ajir
1.77E+18,Wed Mar 13 05:30:58 +0000 2024,14,Hati hati dengan berita hoax pasca pemilu 2024 https://t.co/XiWBQLwt94,1.77E+18,https://pbs.twimg.com/media/GIhvcVga8AAkd38.jpg,,in,,0,0,0,https://x.com/BabelBid/status/1767785400943472863,1.38E+18,BabelBid
1.77E+18,Wed Mar 13 05:26:31 +0000 2024,0,@Dyananjani89 @datuakrajoangek Kalau dari awal sudah diguyur bansos mah susah hitung suara murni rakyat toh. Terbukti spt disampaikan pd film dirty vote yg dirilis sebelum pemilu jika indikasi kecurangan tsb dianggap hoax silahkan kasih bukti2 valid utk dibantah. https://t.co/CnEiK2oatc,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767784218661371904/pu/img/yZBifT9nqfJL6xh-.jpg,Dyananjani89,in,Jakarta,0,0,0,https://x.com/riza_ajir/status/1767784284516225400,78954109,riza_ajir
1.77E+18,Tue Mar 12 06:34:55 +0000 2024,2,@sqytherin Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/zCsXGqmz9x,1.77E+18,https://pbs.twimg.com/media/GIc0f-4aIAArArc.jpg,sqytherin,in,,0,1,1,https://x.com/wrahardian2/status/1767439109302210901,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:33:05 +0000 2024,0,@Listy9021 @An4Julie @jokowi Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/Z9Yb6pAVhC,1.77E+18,https://pbs.twimg.com/media/GIc0E8UacAAsurj.jpg,Listy9021,in,,0,2,0,https://x.com/wrahardian2/status/1767438646595174428,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:29:24 +0000 2024,0,@YRadianto Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/ds3r5VJUly,1.77E+18,https://pbs.twimg.com/media/GIczPTBbAAAx5qb.jpg,YRadianto,in,,0,1,0,https://x.com/wrahardian2/status/1767437721189163069,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:28:42 +0000 2024,0,@PartBurungGalak Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/NLZGS68gTi,1.77E+18,https://pbs.twimg.com/media/GIczE-tbwAEW7TN.jpg,PartBurungGalak,in,,0,2,0,https://x.com/wrahardian2/status/1767437543652630890,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:27:53 +0000 2024,0,@T0M5helby Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/guVPGz1vJX,1.77E+18,https://pbs.twimg.com/media/GIcy5CZagAA5nSJ.jpg,TOM5helby,in,,0,1,0,https://x.com/wrahardian2/status/1767437338760847424,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:27:21 +0000 2024,1,@quintta1217 Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/rnKteCojFP,1.77E+18,https://pbs.twimg.com/media/GIcyxGJagAAPmrZ.jpg,quintta1217,in,,0,1,0,https://x.com/wrahardian2/status/1767437204325085266,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:26:04 +0000 2024,0,@Jumianto_RK Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/DcI6kZDBtz,1.77E+18,https://pbs.twimg.com/media/GIcyeaabYAAGam6.jpg,Jumianto_RK,in,,0,0,0,https://x.com/wrahardian2/status/1767436880310919231,3248886918,wrahardian2
1.77E+18,Tue Mar 12 06:23:43 +0000 2024,3,@mas_veel @FaGtng Ganjar suaranya mmg jeblok krn berkampanye penuh kebencian dan hoax KPU sangat transparan shg tdk bisa hasil dicurangi coba lihat perhitungan 'Kawal Pemilu yg non pemerintah hasilnya sama saja Ganjar 16% pd suara masuk 82% apakah Kawal Pemilu juga akan dituduh curang? https://t.co/4tCeKQfuCt,1.77E+18,https://pbs.twimg.com/media/GIcx7-sacAACfzC.jpg,mas_veel,in,,1,0,1,https://x.com/wrahardian2/status/1767436289492898031,3248886918,wrahardian2
